		(1)
VARIABLES	LABELS	(Net returns over net outlays) -1
		
ln_SLAXIMP	Enslaved persons emparked (ln)	0.14***
		(0.043)
MORTALITY	Enslaved people mortality rate	-1.20***
		(0.18)
investment_per_slave	Total net expenditure in g. of silver per enslaved person	-0.000045***
		(0.000016)
pricemarkup	Enslaved people price markup between America and Africa	-0.023
		(0.016)
ln_length_in_days	ln_length_in_days	-0.22***
		(0.057)
3.FATEcol	Fate of venture = 3, Original goal thwarted after disembarking enslaved people	0.12
		(0.087)
Constant	Constant	1.01**
		(0.44)
		
Observations		287
R-squared		0.241
Robust standard errors in parentheses		
*** p<0.01, ** p<0.05, * p<0.1		
